"","Name","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces"
"237","Number 22 Porter",1156,0.064,NA,464,"American Porter",12
"238","Big Bend Hefeweizen",1155,0.056,NA,464,"Hefeweizen",12
"239","Terlingua Gold",1154,0.06,NA,464,"American Blonde Ale",12
"242","West Portal Colorado Common Summer Ale",1422,0.041,NA,221,"California Common / Steam Beer",16
"244","Big Elm IPA",1003,0.07,NA,478,"American IPA",12
"245","Gerry Dog Stout",1002,0.065,NA,478,"American Stout",12
"246","413 Farmhouse Ale",1001,0.06,NA,478,"Saison / Farmhouse Ale",12
"248","Ryecoe",2469,0.062,NA,9,"American IPA",16
"249","Blueberry Blonde",2586,0.06,NA,41,"Fruit / Vegetable Beer",12
"261","Summer Honey",168,0.047,NA,337,"American Blonde Ale",12
"273","Blown Out Brown",1441,0.052,NA,408,"American Brown Ale",12
"274","Single Hop Ale",1413,0.063,NA,408,"American Pale Ale (APA)",12
"275","Sawtooth Ale",1411,0.054,NA,408,"American Blonde Ale",12
"287","Flying Sailor",2449,0.073,NA,96,"Rye Beer",12
"290","Honey Lav",1953,0.052,NA,13,"American Pale Wheat Ale",12
"291","Coconut Brown Ale",1496,0.068,NA,13,"American Brown Ale",12
"293","Grand Rabbits",1480,0.055,NA,13,"Cream Ale",12
"294","1800 Big Log Wheat (2012)",1564,0.05,NA,381,"American Pale Wheat Ale",12
"295","Double Play Pilsner",1541,NA,NA,381,"American Pilsner",12
"296","Brewerhood Brown Ale",1321,0.055,NA,381,"American Brown Ale",12
"297","Last Call Imperial Amber Ale",1320,0.08,NA,381,"American Amber / Red Ale",12
"298","Pernicious Double IPA",1319,0.096,NA,381,"American Double / Imperial IPA",12
"299","6-4-3 Double Play Pilsner",1303,0.052,NA,381,"German Pilsener",12
"300","N Street Drive-In 50th Anniversary IPA",1025,NA,NA,381,"American Double / Imperial IPA",12
"301","467 Ethan's Stout",1012,0.05,NA,381,"American Stout",12
"302","1335 Wicked Snout",942,0.064,NA,381,"Saison / Farmhouse Ale",12
"303","543 Skull Creek Fresh Hopped Pale Ale",937,0.045,NA,381,"American Pale Ale (APA)",12
"308","Yellow Collar",1372,0.059,NA,423,"Mead",12
"309","Green Collar",1371,0.059,NA,423,"Mead",12
"316","Professor Black",2490,NA,NA,78,"American Stout",12
"317","Little Boss",2489,NA,NA,78,"American Pale Wheat Ale",12
"318","Van Dayum!",2488,NA,NA,78,"American Amber / Red Ale",12
"319","Spirit Animal",2487,NA,NA,78,"American Pale Ale (APA)",12
"320","Toxic Sludge",939,0.07,NA,490,"American Black Ale",16
"324","Bohemian Export Lager",1607,0.06,NA,365,"Dortmunder / Export Lager",12
"325","Altus Bohemes Altbier",1597,0.053,NA,365,"Altbier",12
"326","Cherny Bock",344,0.04,NA,365,"Schwarzbier",12
"327","Czech Pilsner",89,0.05,NA,365,"Czech Pilsener",12
"328","Viennese Lager",88,0.05,NA,365,"Vienna Lager",12
"329","Mad Manatee IPA",1569,0.065,NA,379,"American IPA",12
"330","Killer Whale Cream Ale",1568,0.055,NA,379,"Cream Ale",12
"331","Duke's Cold Nose Brown Ale",1188,0.06,NA,379,"American Brown Ale",12
"334","Bomb Lager (New Recipe)",577,0.051,NA,526,"Munich Helles Lager",12
"341","Slow & Steady Golden Ale",1548,0.047,NA,108,"American Blonde Ale",12
"342","Pink-I Raspberry IPA",1517,0.068,NA,108,"American IPA",16
"343","Moe's Original Bar B Que 'Bama Brew Golden Ale",1500,0.047,NA,108,"American Blonde Ale",12
"344","Live Local Golden Ale",1421,0.047,NA,108,"American Blonde Ale",12
"346","Dirtbag Dunkel",1184,0.049,NA,108,"Munich Dunkel Lager",16
"348","Mistress Winter Wheat",1023,0.064,NA,108,"Winter Warmer",12
"349","Tent Pole Vanilla Porter",998,0.061,NA,108,"American Porter",16
"350","Awry Rye Pale Ale",997,0.058,NA,108,"American Pale Ale (APA)",12
"351","Demshitz Brown Ale",996,0.058,NA,108,"American Brown Ale",12
"352","Wood Splitter Pilsner (2012)",931,0.048,NA,108,"Czech Pilsener",12
"353","Brush Creek Blonde",798,0.048,NA,108,"American Blonde Ale",16
"358","Cold Snap",1601,0.055,NA,301,"Witbier",12
"359","Samuel Adams Winter Lager",1427,0.056,NA,301,"Bock",12
"369","1492",2300,0.065,NA,168,"American Pale Ale (APA)",12
"370","Mango Ginger",2299,0.058,NA,168,"American IPA",12
"371","Passenger",2298,0.047,NA,168,"English Dark Mild Ale",12
"376","Bozone Select Amber Ale",470,0.055,NA,220,"American Amber / Red Ale",12
"378","Post Time Kölsch",2204,0.05,NA,196,"Kölsch",16
"383","You're My Boy, Blue",1802,0.05,NA,309,"Fruit / Vegetable Beer",12
"387","Insert Hop Reference",2619,0.058,NA,20,"American Pale Ale (APA)",16
"388","Manitou Amber",2468,0.053,NA,86,"American Amber / Red Ale",16
"389","Belfort",2637,0.067,NA,11,"Saison / Farmhouse Ale",16
"390","Star Runner",2636,0.06,NA,11,"Belgian Pale Ale",16
"391","Tart Side of the Barrel",2598,0.098,NA,11,"American Double / Imperial Stout",16
"392","Linnaeus Mango IPA",2597,0.06,NA,11,"American IPA",16
"393","Beasts A'Burnin'",2548,0.07,NA,11,"Rauchbier",16
"394","Verdun",2542,0.077,NA,11,"Bière de Garde",16
"395","Barrel Aged Triomphe",2541,0.065,NA,11,"Belgian IPA",16
"396","Cherry Doppelbock",2504,0.065,NA,11,"Doppelbock",16
"397","Tropical Saison",2500,0.065,NA,11,"Saison / Farmhouse Ale",16
"398","Beach Patrol",2499,0.065,NA,11,"Witbier",16
"399","Nuit Serpent",2498,0.05,NA,11,"Belgian IPA",16
"400","Paris",2481,0.09,NA,11,"Saison / Farmhouse Ale",16
"401","The Grand Army",2476,0.055,NA,11,"Belgian IPA",16
"402","Acidulated Trip",2467,0.059,NA,11,"Saison / Farmhouse Ale",16
"403","Root Stock",2466,0.066,NA,11,"Rye Beer",16
"404","Mind Games",2465,0.041,NA,11,"Dunkelweizen",16
"405","Sous Chef",2433,0.082,NA,11,"Belgian Strong Pale Ale",16
"406","Dubbelicious",2418,0.065,NA,11,"Dubbel",16
"407","Psychopomp",2416,0.062,NA,11,"Belgian Dark Ale",16
"408","Fat Paczki",2382,NA,NA,11,"Belgian Dark Ale",16
"409","Earth-Like Planets",2381,NA,NA,11,"Belgian Pale Ale",16
"410","Ski Patrol",2290,0.061,NA,11,"Witbier",16
"411","Viking Ice Hole",2241,0.063,NA,11,"Oatmeal Stout",16
"412","Rye Porter",2240,0.056,NA,11,"American Porter",16
"413","Wizard Burial Ground",2137,0.099,NA,11,"Quadrupel (Quad)",16
"414","Smoky Wheat",2101,0.051,NA,11,"Rauchbier",16
"415","BRIPA",2092,0.062,NA,11,"Belgian IPA",16
"416","Mela",2091,0.062,NA,11,"Belgian Dark Ale",16
"417","W.I.P.A Snappa",2086,0.053,NA,11,"Belgian IPA",16
"418","Pepper in the Rye",2023,0.063,NA,11,"Rye Beer",16
"419","Moe Lasses'",2006,0.064,NA,11,"American Stout",16
"420","Pumpkin Tart",1997,0.07,NA,11,"Fruit / Vegetable Beer",16
"421","Undertaker",1977,0.067,NA,11,"Belgian Dark Ale",16
"422","Undertaker (2014)",1976,0.067,NA,11,"Belgian Dark Ale",16
"423","Coq D'Or",1974,0.05,NA,11,"Belgian Pale Ale",16
"424","North French",1973,0.06,NA,11,"Bière de Garde",16
"425","Agent a Deux",1959,0.065,NA,11,"Belgian Dark Ale",16
"426","Belgian Wit",1958,0.045,NA,11,"Witbier",16
"427","Pothole Stout",1949,0.063,NA,11,"American Stout",16
"428","Tree Bucket",1947,0.093,NA,11,"Belgian IPA",16
"429","Le Flaneur Ale",1785,0.073,NA,11,"American Wild Ale",16
"430","Maize & Blueberry",1651,0.056,NA,11,"Fruit / Vegetable Beer",16
"431","Trebuchet Double IPA",1443,0.093,NA,11,"American Double / Imperial IPA",16
"432","Contemplation",1352,0.065,NA,11,"Bière de Garde",16
"433","Black Rabbit",1267,0.05,NA,11,"American Black Ale",16
"434","Zaison",1266,0.09,NA,11,"Saison / Farmhouse Ale",16
"435","Vivant Tripel",1178,0.082,NA,11,"Tripel",16
"436","Tart Side of the Moon",1136,0.098,NA,11,"Belgian Dark Ale",16
"437","Big Red Coq",1044,0.06,NA,11,"American Amber / Red Ale",16
"438","Hubris Quadrupel Anniversary Ale",1033,0.099,NA,11,"Quadrupel (Quad)",16
"439","Plow Horse Belgian Style Imperial Stout",1031,0.095,NA,11,"American Double / Imperial Stout",16
"440","Escoffier Bretta Ale",909,0.092,NA,11,"American Wild Ale",16
"441","Contemplation (2012)",873,0.065,NA,11,"Bière de Garde",16
"442","Vivant Belgian Style Imperial Stout (2012)",860,0.099,NA,11,"Russian Imperial Stout",16
"443","Big Red Coq (2012)",677,0.062,NA,11,"American Amber / Red Ale",16
"444","Zaison (2012)",671,0.09,NA,11,"Saison / Farmhouse Ale",16
"445","Vivant Tripel (2012)",670,0.092,NA,11,"Tripel",16
"446","Trebuchet Double IPA (2012)",669,0.097,NA,11,"Belgian IPA",16
"447","Kludde",627,0.085,NA,11,"Belgian Strong Dark Ale",16
"448","Farm Hand",387,0.055,NA,11,"Saison / Farmhouse Ale",16
"449","Solitude",385,0.06,NA,11,"Belgian Pale Ale",16
"450","Triomphe",384,0.065,NA,11,"Belgian IPA",16
"451","Tampa Pale Ale",1096,NA,NA,468,"American Pale Ale (APA)",12
"452","Orange Grove Wheat Ale",1095,NA,NA,468,"American Pale Wheat Ale",12
"453","Broad Brook Ale",2456,0.061,NA,90,"American Amber / Red Ale",16
"456","Chugach Session Ale",919,0.048,NA,494,"Cream Ale",12
"459","Brooklyn Summer Ale",756,0.045,NA,438,"English Pale Mild Ale",12
"461","Brooklyn Summer Ale (2011)",328,0.045,NA,438,"English Pale Mild Ale",12
"462","Brooklyn Lager (16 oz.)",66,0.052,NA,438,"American Amber / Red Lager",16
"463","Brooklyn Lager (12 oz.)",65,0.052,NA,438,"American Amber / Red Lager",12
"464","Tour de Nez Belgian IPA (Current)",538,0.08,NA,531,"Belgian IPA",16
"465","Roler Bock (Current)",504,NA,NA,531,"Maibock / Helles Bock",16
"467","Very Noddy Lager (Current)",29,0.099,NA,531,"Schwarzbier",16
"471","Cleveland Beer Week 2013",1627,0.053,NA,358,"Munich Helles Lager",16
"472","Painted Turtle",2552,0.045,NA,57,"American Pale Ale (APA)",12
"476","Wrath of Pele",2608,0.065,NA,25,"American Brown Ale",16
"477","Black Beer'd",2607,0.068,NA,25,"American Black Ale",16
"478","Mr. Tea",2606,0.078,NA,25,"Fruit / Vegetable Beer",24
"481","Kreamed Corn",2470,0.06,NA,25,"Cream Ale",12
"482","Coconoats",2464,0.065,NA,25,"American Pale Wheat Ale",16
"485","MCA",2072,0.068,NA,25,"American IPA",16
"489","Heinnieweisse Weissebier",52,0.049,NA,557,"Hefeweizen",12
"490","Snapperhead IPA",51,0.068,NA,557,"American IPA",12
"491","Moo Thunder Stout",50,0.049,NA,557,"Milk / Sweet Stout",12
"492","Porkslap Pale Ale",49,0.043,NA,557,"American Pale Ale (APA)",12
"493","Blackbeard",2657,0.093,NA,6,"American Double / Imperial Stout",12
"494","Rye Knot",2656,0.062,NA,6,"American Brown Ale",12
"495","Dead Arm",2655,0.06,NA,6,"American Pale Ale (APA)",12
"496","32°/50° Kölsch ",2654,0.048,NA,6,"Kölsch",16
"497","HopArt",2653,0.077,NA,6,"American IPA",16
"498","Boy King",2652,0.097,NA,6,"American Double / Imperial IPA",16
"499","Gran Sport",2252,0.052,NA,183,"American Porter",16
"506","Pilot Rock Porter",1808,0.06,NA,156,"American Porter",12
"519","Remain in Light",2257,0.05,NA,179,"American Pilsner",12
"520","Flower Child (2014)",2256,0.065,NA,179,"American IPA",12
"521","THP White (2006)",870,NA,NA,498,"Witbier",12
"522","THP Amber (2006)",869,NA,NA,498,"American Amber / Red Ale",12
"523","THP Light (2006)",868,NA,NA,498,"American Blonde Ale",12
"524","THP Dark (2006)",867,NA,NA,498,"English Dark Mild Ale",12
"538","Wisconsin Amber (1998)",840,0.052,NA,193,"Vienna Lager",12
"539","Island Wheat",180,0.042,NA,193,"American Pale Wheat Ale",12
"540","Wisconsin Amber (2013)",63,0.052,NA,193,"Vienna Lager",12
"541","U.S. Pale Ale",62,0.05,NA,193,"American Pale Ale (APA)",12
"542","Supper Club Lager",61,NA,NA,193,"American Pale Lager",12
"543","Carolina Lighthouse (2007)",784,0.04,NA,505,"American Blonde Ale",12
"544","Carolina Blonde (2006)",783,0.05,NA,505,"American Blonde Ale",12
"545","Carolina Blonde Light (2005)",782,0.035,NA,505,"American Blonde Ale",12
"547","Flagship IPA",530,0.057,NA,180,"English India Pale Ale (IPA)",12
"548","Sky Blue Golden Ale",427,0.051,NA,180,"Kölsch",12
"553","Granny Smith Hard Apple Cider",1465,0.069,NA,405,"Cider",16
"554","Dry Hard Apple Cider",1464,0.069,NA,405,"Cider",16
"555","Farmer Ted's Cream Ale",1744,0.056,NA,332,"Cream Ale",12
"556","Firewater India Pale Ale",1743,0.052,NA,332,"American IPA",12
"557","White Zombie Ale",1742,0.047,NA,332,"Witbier",12
"558","King Winterbolt Winter Ale",1719,0.07,NA,332,"Winter Warmer",12
"559","White Zombie Ale",638,0.047,NA,332,"Witbier",12
"560","Firewater India Pale Ale",507,0.052,NA,332,"American IPA",12
"561","Farmer Ted's Farmhouse Cream Ale",480,0.056,NA,332,"Cream Ale",12
"564","Peanut Butter Jelly Time",2446,0.058,NA,97,"American Brown Ale",12
"565","King Coconut",2106,0.054,NA,97,"American Porter",12
"567","Special Release",2210,NA,NA,30,"",16
"572","All American Blonde Ale",1219,0.05,NA,453,"American Blonde Ale",12
"573","All American Red Ale",1218,0.05,NA,453,"American Amber / Red Ale",12
"582","Stickin' In My Rye",2057,0.07,NA,237,"Rye Beer",24
"586","Enlighten",2019,0.045,NA,251,"Kölsch",16
"589","Englishman",2016,0.045,NA,251,"English Brown Ale",16
"594","Lighthouse Amber",2354,0.052,NA,122,"Altbier",16
"597","First Press",1342,0.05,NA,426,"Cider",12
"598","Magic Apple",1341,0.05,NA,426,"Cider",12
"602","Sugar Plum",2012,0.055,NA,142,"American Brown Ale",12
"603","Oktoberfest",2011,0.055,NA,142,"Märzen / Oktoberfest",12
"604","Puppy's Breath Porter",2010,0.06,NA,142,"American Porter",12
"605","Happening Now",2009,0.045,NA,142,"American IPA",12
"608","Wiregrass Post-Prohibition Ale",1695,0.063,NA,142,"American Pale Ale (APA)",12
"612","Gwar Beer",1369,0.055,NA,142,"American Pale Ale (APA)",12
"613","Tropical Heatwave",1243,0.052,NA,142,"American Pale Wheat Ale",16
"617","Invasion Pale Ale",1139,0.05,NA,142,"American Pale Ale (APA)",12
"620","Hotter Than Helles Lager",570,0.05,NA,142,"Munich Helles Lager",12
"624","Shark Tracker Light lager",2338,0.048,NA,146,"Light Lager",12
"625","Pumple Drumkin",1365,0.06,NA,146,"Pumpkin Ale",12
"626","Grey Lady",1094,0.045,NA,146,"Witbier",12
"627","Summer of Lager",657,0.062,NA,146,"Munich Helles Lager",12
"628","Indie Pale Ale",656,0.065,NA,146,"American IPA",12
"629","Sankaty Light Lager",359,0.038,NA,146,"Light Lager",12
"630","Whale's Tale Pale Ale",56,0.056,NA,146,"English Pale Ale",12
"640","Big Blue Van",2061,0.058,NA,233,"Fruit / Vegetable Beer",16
"644","Behemoth",2351,0.05,NA,140,"American Pilsner",12
"645","Arkansas Red",1650,0.052,NA,140,"American Amber / Red Ale",12
"646","Core Oatmeal Stout",1337,0.057,NA,140,"Oatmeal Stout",12
"647","Core ESB",1336,0.061,NA,140,"Extra Special / Strong Bitter (ESB)",12
"648","Chester's Beer (2005)",737,0.038,NA,513,"American Pale Lager",12
"649","Heiner Brau Kölsch",129,0.05,NA,554,"Kölsch",12
"650","Trigger Blonde Ale",716,0.048,NA,516,"American Blonde Ale",16
"655","Snowcat Coffee Stout",1689,0.059,NA,64,"American Stout",12
"656","WinterWonderGrass Festival Ale",1163,NA,NA,64,"American Amber / Red Ale",12
"657","Boohai Red Ale",940,NA,NA,64,"American Amber / Red Ale",12
"659","Mountain Livin' Pale Ale",613,0.06,NA,64,"American Pale Ale (APA)",12
"662","Athena",2028,0.045,NA,248,"Berliner Weissbier",12
"664","3 Picket Porter",1105,0.055,NA,170,"American Porter",12
"665","Rusty Nail Pale Ale",1104,0.056,NA,170,"American Pale Ale (APA)",12
"666","Red Water Irish Style Red",2145,0.065,NA,213,"American Amber / Red Ale",12
"667","Mjöllnir",1804,0.066,NA,213,"Herbed / Spiced Beer",12
"668","Bear Butte Nut Brown Ale",1602,0.055,NA,213,"American Brown Ale",12
"669","Easy Livin' Summer Ale",1301,0.045,NA,213,"American Blonde Ale",12
"670","Canyon Cream Ale",542,0.055,NA,213,"Cream Ale",12
"671","Pile O'Dirt Porter",272,0.069,NA,213,"American Porter",12
"672","11th Hour IPA",271,0.06,NA,213,"American IPA",12
"675","Lost River Blonde Ale",1789,0.049,NA,316,"American Blonde Ale",16
"676","Monon Wheat",1788,0.054,NA,316,"Witbier",16
"677","Floyd's Folly",1787,0.08,NA,316,"Scottish Ale",16
"678","Half Court IPA",1786,0.063,NA,316,"American IPA",16
"679","Geary's Pale Ale",1763,0.045,NA,324,"English Pale Ale",12
"680","Geary's Summer Ale",1311,0.06,NA,324,"Kölsch",12
"681","Stone of Arbroath",2078,0.08,NA,228,"Scotch Ale / Wee Heavy",12
"684","Penn Quarter Porter",1092,0.055,NA,228,"American Porter",12
"687","The Citizen",185,0.07,NA,228,"Belgian Pale Ale",12
"688","The Public",184,0.06,NA,228,"American Pale Ale (APA)",12
"689","Dank IPA",1224,0.065,NA,452,"American IPA",16
"690","Dank IPA (2012)",964,0.065,NA,452,"American IPA",16
"691","Lift Off IPA",1623,0.072,NA,359,"American IPA",16
"692","BrewFarm Select Golden Lager",110,0.055,NA,555,"American Pale Lager",12
"693","Sprocket Blonde Ale (2006)",1735,0.05,NA,334,"American Blonde Ale",12
"694","Sprocket Pale Ale (2006)",1734,0.05,NA,334,"American Pale Ale (APA)",12
"696","Neato Bandito",2371,0.06,NA,128,"Euro Pale Lager",12
"699","Deep Ellum Pale Ale",1827,0.06,NA,128,"American Pale Ale (APA)",12
"700","Double Brown Stout",1203,0.07,NA,128,"Baltic Porter",12
"702","Rye Pils Session Lager",1161,0.046,NA,128,"German Pilsener",12
"711","Incredible Pedal IPA",1944,0.07,NA,264,"American IPA",12
"712","Graham Cracker Porter",1943,0.05,NA,264,"American Porter",12
"718","Strawberry Blonde",2015,0.05,NA,58,"Fruit / Vegetable Beer",12
"724","Kaleidoscope Collaboration 2012",731,NA,NA,492,"American Black Ale",16
"727","12 Man Pale Ale",1773,0.045,NA,320,"American Pale Ale (APA)",12
"729","Dock Street Amber Beer (1992)",944,NA,NA,489,"American Amber / Red Ale",12
"730","Dolores River Hefeweizen",524,NA,NA,532,"Hefeweizen",16
"731","Dolores River ESB",450,NA,NA,532,"Extra Special / Strong Bitter (ESB)",16
"732","Snaggletooth Double Pale Ale",449,NA,NA,532,"American Double / Imperial IPA",16
"733","Dolores River Pale Ale",448,NA,NA,532,"American Pale Ale (APA)",16
"734","Dolores River Dry Stout",447,NA,NA,532,"Irish Dry Stout",16
"735","Dolores River Mild",446,NA,NA,532,"English Dark Mild Ale",16
"736","Cranberry Blend",1246,0.049,NA,447,"Cider",12
"737","Orignal Blend",977,0.051,NA,447,"Cider",12
"744","Pumpkin Patch Ale",1590,0.05,NA,370,"Pumpkin Ale",16
"746","River Runners Pale Ale",1110,0.06,NA,370,"American Pale Ale (APA)",16
"747","Pumpkin Patch Ale (2012)",1014,0.05,NA,370,"Pumpkin Ale",16
"748","Mountain Fairy Raspberry Wheat",911,0.055,NA,370,"Fruit / Vegetable Beer",16
"749","Boater Beer",680,0.045,NA,370,"German Pilsener",16
"751","Bleeding Buckeye Red Ale",1642,0.057,NA,353,"Extra Special / Strong Bitter (ESB)",16
"753","Nut Sack Imperial Brown Ale",1107,0.07,NA,466,"American Brown Ale",12
"754","Underachiever",1039,0.05,NA,474,"American Adjunct Lager",16
"755","Lil' Brainless Raspberries",2477,0.052,NA,82,"Fruit / Vegetable Beer",12
"756","Element 29",2008,0.052,NA,82,"American Pale Ale (APA)",12
"757","Hop Syndrome",2004,0.05,NA,82,"American Pale Lager",12
"758","Escape to Colorado",2003,0.062,NA,82,"American IPA",12
"763","Bobblehead",2431,0.051,NA,27,"American Pale Wheat Ale",16
"764","Lucky Dog",2430,0.052,NA,27,"American Pale Ale (APA)",16
"765","Voodoo",2429,0.048,NA,27,"American Porter",16
"767","Nomader Weiss",2283,0.04,NA,174,"Berliner Weissbier",12
"768","Molotov Lite",2248,0.085,NA,174,"American Double / Imperial IPA",16
"769","Hipster Ale (Two Roads Brewing)",1287,0.055,NA,174,"American Pale Ale (APA)",12
"770","Bikini Beer",1286,0.027,NA,174,"American IPA",12
"771","Hipster Ale (Westbrook Brewing)",640,0.055,NA,174,"American Pale Ale (APA)",12
